,Rk,NAME,Pos,Age,TEAM_Regular,GP_Regular,MPG_Regular,FG,FGA,FG%,3P,3PA_Regular,3P%_Regular,2P,2PA_Regular,2P%_Regular,eFG%_Regular,FT,FTA_Regular,FT%_Regular,ORB,RPG_Regular,TRB,APG_Regular,SPG_Regular,BPG_Regular,TPG_Regular,PF,PPG_Regular,RANK,TEAM_Playoffs,POS,AGE,GP_Playoffs,MPG_Playoffs,USG%,TO%,FTA_Playoffs,FT%_Playoffs,2PA_Playoffs,2P%_Playoffs,3PA_Playoffs,3P%_Playoffs,eFG%_Playoffs,TS%,PPG_Playoffs,RPG_Playoffs,APG_Playoffs,SPG_Playoffs,BPG_Playoffs,TPG_Playoffs,P+R,P+A,P+R+A,VI,ORtg,DRtg
109,307,Kevin Love,PF,35,MIA,55,16.8,2.9,6.5,0.44,1.5,4.4,0.344,1.3,2.1,0.643,0.557,1.5,2.0,0.787,1.1,5.1,6.1,2.1,0.3,0.2,0.9,1.8,8.8,158,Mia,F,35.8,5,6.4,16.8,18.2,0,0.0,5,0.6,4,0.25,0.5,0.5,1.8,2.8,0.8,0.0,0.0,0.4,4.6,2.6,5.4,9.9,99.1,103.1
110,308,Kyle Lowry,PG,37,TOT,60,28.2,2.7,6.3,0.432,1.6,4.2,0.392,1.1,2.1,0.512,0.562,1.1,1.3,0.84,0.6,2.7,3.2,4.2,1.0,0.4,1.4,2.4,8.1,93,Phi,G,38.2,6,29.3,11.2,11.0,15,0.8,8,0.375,24,0.333,0.469,0.544,7.0,3.5,4.0,1.0,0.7,0.7,10.5,11.0,14.5,6.3,128.1,105.2
111,313,Terance Mann,SG,27,LAC,75,25.0,3.4,6.6,0.515,0.9,2.7,0.348,2.4,3.9,0.633,0.587,1.1,1.3,0.832,1.2,2.2,3.4,1.6,0.6,0.2,0.6,1.9,8.8,76,Lac,G-F,27.7,6,31.2,13.3,9.7,8,1.0,24,0.375,22,0.455,0.522,0.565,9.3,5.0,1.8,0.0,0.0,0.8,14.3,11.2,16.2,5.6,125.2,112.1
112,317,Naji Marshall,SF,26,NOP,66,19.0,2.6,5.6,0.463,0.9,2.3,0.387,1.7,3.3,0.516,0.542,1.0,1.3,0.791,0.8,2.8,3.6,1.9,0.7,0.2,1.0,1.4,7.1,79,Nor,F,26.4,4,21.0,17.0,6.6,6,1.0,13,0.462,15,0.4,0.536,0.587,9.0,2.8,1.3,0.5,0.5,0.5,11.8,10.3,13.0,6.1,122.3,106.4
113,318,Caleb Martin,SF,28,MIA,64,27.4,3.8,8.7,0.431,1.3,3.6,0.349,2.5,5.1,0.489,0.504,1.2,1.5,0.778,1.2,3.2,4.4,2.2,0.7,0.5,1.2,2.0,10.0,64,Mia,F,28.7,5,35.1,14.0,6.2,5,1.0,20,0.5,25,0.44,0.589,0.614,11.6,3.6,1.4,0.6,0.0,0.6,15.2,13.0,16.6,4.4,122.6,109.2
114,324,Tyrese Maxey,PG,23,PHI,70,37.5,9.1,20.3,0.45,3.0,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.2,25.9,5,Phi,G,23.6,6,44.6,28.1,8.6,28,0.893,83,0.53,55,0.4,0.558,0.595,29.8,5.2,6.8,0.8,0.3,2.2,35.0,36.7,41.8,9.1,120.9,113.3
115,326,Miles McBride,PG,23,NYK,68,19.5,3.0,6.7,0.452,1.6,3.9,0.41,1.4,2.8,0.511,0.572,0.6,0.7,0.86,0.5,1.0,1.5,1.7,0.7,0.1,0.4,1.6,8.3,67,Nyk,G,23.8,13,26.7,17.8,8.1,12,0.833,56,0.518,68,0.368,0.536,0.553,11.0,2.2,1.9,0.5,0.2,0.8,13.2,12.9,15.2,5.4,115.2,110.7
116,327,CJ McCollum,PG,32,NOP,66,32.7,7.3,16.0,0.459,3.6,8.4,0.429,3.7,7.5,0.492,0.572,1.7,2.1,0.827,0.6,3.7,4.3,4.6,0.9,0.6,1.7,1.9,20.0,28,Nor,G,32.7,4,36.9,27.0,17.7,2,1.0,45,0.533,29,0.241,0.466,0.474,17.8,4.8,4.8,1.8,0.8,4.0,22.5,22.5,27.3,8.1,88.1,105.8
117,328,T.J. McConnell,PG,31,IND,71,18.2,4.6,8.4,0.556,0.3,0.6,0.409,4.4,7.7,0.568,0.572,0.7,0.9,0.79,0.5,2.2,2.7,5.5,1.0,0.1,1.5,1.1,10.2,62,Ind,G,32.2,17,20.5,27.6,10.2,15,0.867,159,0.522,26,0.269,0.505,0.522,11.8,3.1,5.1,0.9,0.1,1.2,14.8,16.8,19.9,11.1,113.1,114.8
118,329,Jaden McDaniels,SF,23,MIN,72,29.2,4.3,8.7,0.489,1.2,3.5,0.337,3.1,5.2,0.592,0.557,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3.0,10.5,59,Min,F,23.7,16,33.6,14.6,10.8,35,0.771,84,0.571,56,0.429,0.6,0.627,12.2,3.8,1.1,0.9,1.1,1.1,16.0,13.3,17.1,4.4,121.5,104.9
119,331,Doug McDermott,SF,32,TOT,64,14.1,1.9,4.4,0.433,1.5,3.6,0.41,0.5,0.9,0.527,0.599,0.2,0.3,0.579,0.2,0.8,0.9,1.1,0.3,0.0,0.4,1.0,5.5,172,Ind,F,32.4,10,6.4,8.5,8.3,0,0.0,3,0.667,8,0.375,0.591,0.591,1.3,0.3,0.7,0.0,0.2,0.1,1.6,2.0,2.3,4.1,132.5,119.9
120,334,Jordan McLaughlin,PG,27,MIN,56,11.2,1.3,2.6,0.483,0.8,1.6,0.472,0.5,1.0,0.5,0.628,0.2,0.3,0.722,0.3,1.0,1.3,2.0,0.6,0.1,0.3,0.6,3.5,188,Min,G,28.2,6,5.0,18.1,18.2,2,0.0,4,0.5,5,0.0,0.222,0.202,0.7,0.7,0.3,0.0,0.0,0.3,1.3,1.0,1.7,4.2,45.4,112.0
121,335,De'Anthony Melton,SG,25,PHI,38,26.9,3.7,9.5,0.386,2.0,5.6,0.36,1.6,3.8,0.425,0.493,1.7,2.1,0.835,0.7,3.0,3.7,3.0,1.6,0.4,1.0,2.2,11.1,199,Phi,G,26.0,1,7.2,12.8,0.0,0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,33.1,104.6
